Country,Country Code,Region,Year,Mortality_Rate,yhat_lower,yhat_upper,Model_Source,Model_Path
Saint Martin (French Part),MAF,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Saint Vincent and the Grenadines,VCT,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Samoa,WSM,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Sao Tome and Principe,STP,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Saudi Arabia,SAU,Middle East and North Africa,2029,4.62565648518448,-0.761069442802254,10.43662475011483,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Senegal,SEN,Sub-Saharan Africa,2029,0.3986871127778867,-0.3905346309412565,1.217543239789673,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Serbia,SRB,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Seychelles,SYC,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Sierra Leone,SLE,Sub-Saharan Africa,2029,0.3986871127778867,-0.3968780512871994,1.108641376250745,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Singapore,SGP,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Sint Maarten (Dutch part),SXM,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Slovakia,SVK,Europe and Central Asia,2029,3.786045117653153,-0.19371109851252657,7.6770071461036995,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Slovenia,SVN,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Solomon Islands,SLB,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Somalia,SOM,Sub-Saharan Africa,2029,0.3986871127778867,-0.35476731017932617,1.1576499342078563,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
South Africa,ZAF,Sub-Saharan Africa,2029,0.33404482171629635,0.11920385763126967,0.5733194821723575,country,saved/country_South_Africa.pkl
South Sudan,SSD,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Spain,ESP,Europe and Central Asia,2029,3.786045117653153,-0.24686007305917165,7.990673911416045,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Sri Lanka,LKA,South Asia,2029,-10.85201839950616,-54.71057168861895,29.82682188423796,country,saved/country_Sri_Lanka.pkl
State of Palestine,PSE,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Sudan,SDN,Middle East and North Africa,2029,0.6571913199524523,-0.5966722545546892,1.8722013933544135,country,saved/country_Sudan.pkl
Suriname,SUR,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Sweden,SWE,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Switzerland,CHE,Europe and Central Asia,2029,3.786045117653153,-0.307661432601251,8.04768929903906,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Syrian Arab Republic,SYR,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Tajikistan,TJK,Europe and Central Asia,2029,3.786045117653153,-0.5319342824477628,7.879020720566446,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
